t,T+R,N_0,N_1
445,0.99458,1.92727e-08,9.24599e-09
446,0.990132,2.13908e-08,1.02997e-08
447,0.987647,2.37069e-08,1.14561e-08
448,0.98744,2.62354e-08,1.2723e-08
449,0.989385,2.89913e-08,1.41086e-08
450,0.992971,3.19898e-08,1.56214e-08
451,0.997419,3.52468e-08,1.72701e-08
452,1.00185,3.87786e-08,1.90639e-08
453,1.00547,4.26017e-08,2.10119e-08
454,1.00767,4.67332e-08,2.31237e-08
455,1.00817,5.11899e-08,2.54088e-08
456,1.00702,5.59891e-08,2.78769e-08
457,1.00454,6.11479e-08,3.05378e-08
458,1.00131,6.66833e-08,3.34011e-08
459,0.997944,7.26122e-08,3.64764e-08
460,0.99508,7.89509e-08,3.97732e-08
461,0.9932,8.57151e-08,4.33005e-08
462,0.992583,9.292e-08,4.70671e-08
463,0.993264,1.0058e-07,5.10812e-08
464,0.99504,1.08707e-07,5.53505e-08
465,0.997518,1.17314e-07,5.98818e-08
466,1.0002,1.2641e-07,6.46811e-08
467,1.00255,1.36003e-07,6.97535e-08
468,1.00415,1.46101e-07,7.51028e-08
469,1.0047,1.56707e-07,8.07318e-08
470,1.00414,1.67822e-07,8.66415e-08
471,1.00262,1.79446e-07,9.28317e-08
472,1.0005,1.91575e-07,9.93003e-08
473,0.99822,2.04201e-07,1.06043e-07
474,0.996274,2.17315e-07,1.13055e-07
475,0.995059,2.30901e-07,1.20328e-07
476,0.994805,2.44942e-07,1.27852e-07
477,0.99553,2.59417e-07,1.35614e-07
478,0.997034,2.74298e-07,1.436e-07
479,0.998953,2.89555e-07,1.51791e-07
480,1.00084,3.05153e-07,1.60168e-07
481,1.00229,3.21054e-07,1.68708e-07
482,1.00298,3.37212e-07,1.77386e-07
483,1.00281,3.5358e-07,1.86172e-07
484,1.00186,3.70103e-07,1.95036e-07
485,1.0004,3.86726e-07,2.03945e-07
486,0.998773,4.03386e-07,2.12863e-07
487,0.997372,4.20016e-07,2.2175e-07
488,0.996497,4.36548e-07,2.30567e-07
489,0.996311,4.52907e-07,2.39271e-07
490,0.996809,4.69016e-07,2.47817e-07
491,0.997831,4.84797e-07,2.56161e-07
492,0.999109,5.00165e-07,2.64255e-07
493,1.00034,5.15039e-07,2.72051e-07
494,1.00124,5.29332e-07,2.795e-07
495,1.00164,5.42959e-07,2.86553e-07
496,1.00149,5.55834e-07,2.9316e-07
497,1.00085,5.67873e-07,2.99272e-07
498,0.999901,5.78992e-07,3.04843e-07
499,0.998877,5.89111e-07,3.09824e-07
500,0.99801,5.9815e-07,3.14173e-07
501,0.997485,6.06037e-07,3.17847e-07
502,0.9974,6.12701e-07,3.20808e-07
503,0.997749,6.18077e-07,3.23023e-07
504,0.998429,6.22106e-07,3.24461e-07
505,0.999269,6.24738e-07,3.25098e-07
506,1.00007,6.25928e-07,3.24916e-07
507,1.00064,6.25643e-07,3.239e-07
508,1.00087,6.23857e-07,3.22043e-07
509,1.00072,6.20555e-07,3.19344e-07
510,1.00023,6.15734e-07,3.15808e-07
511,0.999547,6.09401e-07,3.11444e-07
512,0.998834,6.01573e-07,3.0627e-07
513,0.998267,5.9228e-07,3.00307e-07
514,0.997975,5.81562e-07,2.93584e-07
515,0.998016,5.69471e-07,2.86134e-07
516,0.998363,5.56069e-07,2.77998e-07
517,0.998914,5.41426e-07,2.69222e-07
518,0.999523,5.25626e-07,2.59855e-07
519,1.00004,5.08758e-07,2.49957e-07
520,1.00033,4.90921e-07,2.39589e-07
521,1.00036,4.72221e-07,2.28818e-07
