t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
146,0.999976,-132.294,2.29035e-05,-0.0023233,6.71151e-07,-6.57694e-05,4.18422e-08,-4.02739e-06
147,0.999969,-131.83,2.97511e-05,-0.003013,9.16227e-07,-8.96726e-05,5.90812e-08,-5.68034e-06
148,0.99996,-131.366,3.83755e-05,-0.00388014,1.2404e-06,-0.000121248,8.26757e-08,-7.93998e-06
149,0.999949,-130.901,4.91625e-05,-0.00496282,1.6657e-06,-0.000162617,1.14685e-07,-1.10019e-05
150,0.999935,-130.436,6.25633e-05,-0.00630551,2.21923e-06,-0.000216386,1.57741e-07,-1.51155e-05
151,0.999918,-129.971,7.91016e-05,-0.00795967,2.93408e-06,-0.000285733,2.15173e-07,-2.05963e-05
152,0.999896,-129.506,9.93812e-05,-0.00998452,3.85032e-06,-0.000374496,2.91163e-07,-2.78395e-05
153,0.999871,-129.04,0.000124093,-0.0124476,5.01607e-06,-0.00048728,3.9092e-07,-3.73367e-05
154,0.999839,-128.573,0.000154022,-0.0154256,6.4887e-06,-0.000629561,5.20875e-07,-4.96943e-05
155,0.999801,-128.106,0.000190055,-0.0190047,8.33609e-06,-0.000807809,6.88911e-07,-6.5654e-05
156,0.999755,-127.638,0.000233185,-0.0232812,1.06379e-05,-0.0010296,9.04614e-07,-8.61166e-05
157,0.999701,-127.169,0.000284519,-0.0283624,1.34871e-05,-0.00130377,1.17956e-06,-0.000112168
158,0.999636,-126.699,0.000345281,-0.0343664,1.69913e-05,-0.0016405,1.52761e-06,-0.000145107
159,0.99956,-126.228,0.000416818,-0.0414227,2.12741e-05,-0.00205148,1.96526e-06,-0.000186477
160,0.99947,-125.756,0.000500599,-0.0496723,2.64767e-05,-0.00255005,2.51202e-06,-0.000238098
161,0.999366,-125.283,0.000598221,-0.0592678,3.27592e-05,-0.00315128,3.19077e-06,-0.000302102
162,0.999244,-124.807,0.000711404,-0.0703732,4.03022e-05,-0.00387213,4.02816e-06,-0.000380972
163,0.999104,-124.33,0.000841994,-0.0831638,4.93076e-05,-0.00473155,5.05512e-06,-0.000477577
164,0.998942,-123.851,0.000991955,-0.0978256,6.00003e-05,-0.00575055,6.30717e-06,-0.000595214
165,0.998756,-123.369,0.00116337,-0.114555,7.26287e-05,-0.00695233,7.82501e-06,-0.000737648
166,0.998544,-122.885,0.00135842,-0.133556,8.74658e-05,-0.0083623,9.65485e-06,-0.000909149
167,0.998304,-122.399,0.0015794,-0.155045,0.00010481,-0.0100081,1.1849e-05,-0.00111454
168,0.998032,-121.909,0.00182869,-0.179242,0.000124985,-0.0119198,1.4466e-05,-0.00135921
169,0.997725,-121.416,0.00210874,-0.206374,0.000148339,-0.0141296,1.75716e-05,-0.00164919
170,0.997381,-120.919,0.00242207,-0.236674,0.000175248,-0.016672,2.12384e-05,-0.00199115
171,0.996997,-120.419,0.00277124,-0.270376,0.000206112,-0.0195838,2.55471e-05,-0.00239245
172,0.996569,-119.914,0.00315885,-0.307718,0.000241354,-0.0229035,3.05859e-05,-0.00286115
173,0.996095,-119.405,0.00358752,-0.348935,0.000281421,-0.0266721,3.64514e-05,-0.00340604
174,0.99557,-118.892,0.00405984,-0.394261,0.000326781,-0.030932,4.32485e-05,-0.00403666
175,0.994993,-118.373,0.0045784,-0.443927,0.000377922,-0.0357274,5.10908e-05,-0.00476328
176,0.994359,-117.849,0.00514574,-0.498155,0.000435349,-0.0411039,6.01003e-05,-0.00559695
177,0.993666,-117.32,0.00576432,-0.557161,0.000499583,-0.0471081,7.04077e-05,-0.00654944
178,0.99291,-116.785,0.00643653,-0.621152,0.000571157,-0.0537877,8.21522e-05,-0.00763326
179,0.992089,-116.244,0.00716464,-0.69032,0.000650613,-0.0611907,9.54812e-05,-0.00886161
180,0.9912,-115.696,0.00795081,-0.764844,0.000738498,-0.0693656,0.00011055,-0.0102484
181,0.99024,-115.142,0.00879705,-0.84489,0.000835363,-0.0783607,0.000127522,-0.0118082
182,0.989206,-114.582,0.00970519,-0.930604,0.000941758,-0.088224,0.000146568,-0.013556
183,0.988097,-114.014,0.0106769,-1.02211,0.00105823,-0.0990024,0.000167863,-0.0155075
184,0.986909,-113.439,0.0117137,-1.11953,0.0011853,-0.110742,0.000191592,-0.0176789
185,0.985642,-112.857,0.0128167,-1.22293,0.00132351,-0.123487,0.000217943,-0.0200866
186,0.984292,-112.268,0.0139871,-1.33238,0.00147335,-0.13728,0.000247107,-0.0227475
187,0.98286,-111.671,0.0152256,-1.44793,0.00163532,-0.152161,0.000279282,-0.0256786
188,0.981343,-111.067,0.0165328,-1.56959,0.00180986,-0.168168,0.000314666,-0.0288972
189,0.97974,-110.455,0.0179089,-1.69734,0.00199742,-0.185335,0.000353459,-0.0324204
190,0.978052,-109.836,0.0193542,-1.83116,0.00219839,-0.203694,0.000395863,-0.0362654
191,0.976277,-109.209,0.0208682,-1.97099,0.00241314,-0.223272,0.000442077,-0.0404493
