t,T+R,N_0
694,1,5.26376e-12
695,1,5.0977e-12
696,1,4.89393e-12
697,1,4.65018e-12
698,0.999998,4.36939e-12
699,0.999997,4.05867e-12
700,0.999996,3.72825e-12
701,0.999997,3.39018e-12
702,0.999998,3.05713e-12
703,1,2.74116e-12
704,1,2.45265e-12
705,1,2.1995e-12
706,1,1.9865e-12
707,1,1.81519e-12
708,1,1.68397e-12
709,1,1.58849e-12
710,0.999999,1.52239e-12
711,0.999998,1.47794e-12
712,0.999998,1.44692e-12
713,0.999998,1.42134e-12
714,0.999999,1.39411e-12
715,1,1.35965e-12
716,1,1.31419e-12
717,1,1.25599e-12
718,1,1.18529e-12
719,1,1.10396e-12
720,1,1.01513e-12
721,1,9.22663e-13
722,1,8.30617e-13
723,0.999999,7.42838e-13
724,0.999998,6.62594e-13
725,0.999998,5.92347e-13
726,0.999999,5.33607e-13
727,0.999999,4.86886e-13
728,1,4.51732e-13
729,1,4.26853e-13
730,1,4.10313e-13
731,1,3.99785e-13
732,1,3.92813e-13
733,1,3.8706e-13
734,1,3.80501e-13
735,0.999999,3.71559e-13
736,0.999999,3.59178e-13
737,0.999999,3.42861e-13
738,0.999999,3.2266e-13
739,0.999999,2.99135e-13
740,1,2.73263e-13
741,1,2.46309e-13
742,1,2.19659e-13
743,1,1.94637e-13
744,1,1.72349e-13
745,1,1.53569e-13
746,1,1.38684e-13
747,1,1.27694e-13
748,0.999999,1.20257e-13
749,0.999999,1.15759e-13
750,0.999999,1.13402e-13
751,1,1.12296e-13
752,1,1.11561e-13
753,1,1.10422e-13
754,1,1.08294e-13
755,1,1.0483e-13
756,1,9.9931e-14
757,1,9.37233e-14
758,1,8.64965e-14
759,1,7.86378e-14
760,1,7.05702e-14
761,1,6.27048e-14
762,1,5.5408e-14
763,1,4.89773e-14
764,1,4.36212e-14
765,1,3.9443e-14
766,1,3.64338e-14
767,1,3.44784e-14
768,1,3.33779e-14
769,1,3.2882e-14
770,1,3.27245e-14
771,1,3.26522e-14
772,1,3.24449e-14
773,1,3.19264e-14
774,1,3.0974e-14
775,1,2.95267e-14
776,1,2.75933e-14
777,1,2.5254e-14
778,1,2.26505e-14
779,1,1.99641e-14
780,1,1.73843e-14
781,1,1.50778e-14
782,1,1.31647e-14
783,1,1.17082e-14
784,1,1.07157e-14
785,1,1.01467e-14
786,1,9.92378e-15
787,1,9.94277e-15
788,1,1.00846e-14
789,1,1.02289e-14
790,1,1.02706e-14
791,1,1.01351e-14
792,1,9.78886e-15
793,1,9.2402e-15
