E,T,R0,R,N_R0,E/V0
4719.7,4.31651,0.242071,0.242071,0.0531024,47.197
4719.9,4.06626,0.184604,0.184604,0.0434275,47.199
4720.09,4.17812,0.15159,0.15159,0.0350115,47.2009
4720.29,4.15617,0.16724,0.16724,0.0386824,47.2029
4720.49,4.00241,0.185085,0.185085,0.0441994,47.2049
4720.69,4.15285,0.134546,0.134546,0.0313817,47.2069
4720.88,4.30133,0.103552,0.103552,0.0235085,47.2088
4721.08,4.26418,0.0538325,0.0538325,0.012467,47.2108
4721.28,3.98801,0.053084,0.053084,0.0131361,47.2128
4721.48,4.12138,0.0366689,0.0366689,0.00881876,47.2148
4721.67,4.12837,0.0415133,0.0415133,0.0099555,47.2167
4721.87,4.20113,0.0324056,0.0324056,0.00765448,47.2187
4722.07,4.26211,0.0115223,0.0115223,0.00269613,47.2207
4722.26,4.18487,0.00801134,0.00801134,0.0019107,47.2226
4722.46,4.39045,0.0112806,0.0112806,0.00256277,47.2246
4722.66,4.22499,0.0240161,0.0240161,0.00565217,47.2266
4722.86,4.28701,0.0466468,0.0466468,0.0107638,47.2286
