t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
135,0.098053,6.10329,0.613897,38.2119,0.0475428,2.95929,0.124583,7.75465,0.0484287,3.01443,0.0195415,1.21636,0.0479543,2.9849
136,0.108119,6.77903,0.61085,38.3,0.0466902,2.92745,0.122438,7.67681,0.0470571,2.95045,0.0187554,1.17595,0.0460894,2.88978
137,0.118656,7.49357,0.606853,38.3251,0.0459102,2.89941,0.120185,7.59018,0.0459121,2.89953,0.0180095,1.13737,0.0444744,2.80873
138,0.129649,8.24672,0.601915,38.2868,0.0451989,2.87502,0.117829,7.49488,0.0449959,2.86211,0.0173066,1.10085,0.043106,2.7419
139,0.141083,9.03816,0.596053,38.1846,0.044552,2.85411,0.115374,7.39118,0.0443077,2.83846,0.0166491,1.06658,0.0419804,2.68937
140,0.152944,9.86745,0.589283,38.0185,0.0439655,2.83651,0.112831,7.27947,0.0438441,2.82867,0.0160387,1.03476,0.0410931,2.65119
141,0.165214,10.734,0.581627,37.7886,0.0434356,2.82203,0.110208,7.1603,0.0435988,2.83263,0.0154768,1.00553,0.0404393,2.62736
142,0.177873,11.6372,0.57311,37.4953,0.0429587,2.81054,0.107518,7.0343,0.0435629,2.85008,0.0149641,0.979017,0.0400136,2.61786
143,0.190901,12.5762,0.563758,37.1392,0.0425318,2.80191,0.104773,6.90221,0.0437254,2.88054,0.014501,0.955298,0.0398105,2.62264
144,0.204277,13.55,0.553601,36.7212,0.0421523,2.79603,0.101986,6.76486,0.0440729,2.92342,0.0140872,0.934425,0.0398241,2.64159
145,0.217978,14.5576,0.542673,36.2423,0.0418184,2.79284,0.0991713,6.62315,0.0445904,2.97797,0.0137218,0.916408,0.0400479,2.67459
146,0.231979,15.5978,0.531008,35.704,0.0415283,2.79228,0.0963441,6.478,0.0452616,3.0433,0.0134033,0.901216,0.0404751,2.72147
147,0.246256,16.6694,0.518647,35.1078,0.0412809,2.79436,0.0935187,6.3304,0.0460691,3.11847,0.0131299,0.888781,0.0410983,2.782
148,0.260783,17.7708,0.505628,34.4556,0.0410755,2.79905,0.0907097,6.18134,0.046995,3.20244,0.0128991,0.879,0.0419094,2.85588
149,0.275532,18.9006,0.491997,33.7495,0.0409111,2.80638,0.0879313,6.03182,0.0480215,3.29413,0.0127081,0.871737,0.0428995,2.94278
150,0.290475,20.0572,0.477798,32.9918,0.040787,2.81632,0.0851972,5.88283,0.0491307,3.39246,0.0125537,0.866829,0.0440588,3.04225
151,0.305583,21.2387,0.46308,32.185,0.0407022,2.82889,0.0825204,5.73535,0.0503054,3.49633,0.0124327,0.864099,0.0453764,3.15376
152,0.320827,22.4433,0.447893,31.3321,0.0406555,2.84403,0.0799133,5.5903,0.0515291,3.60469,0.0123417,0.863361,0.0468403,3.27669
153,0.336177,23.6691,0.432289,30.4361,0.0406449,2.86168,0.0773875,5.4486,0.0527864,3.71652,0.0122777,0.86443,0.0484372,3.4103
154,0.351602,24.9141,0.416323,29.5002,0.0406682,2.8817,0.0749533,5.3111,0.0540633,3.83086,0.0122375,0.867133,0.0501524,3.55374
155,0.367071,26.1761,0.400051,28.5279,0.0407219,2.90391,0.0726206,5.17863,0.0553467,3.94681,0.0122187,0.871322,0.0519701,3.70602
156,0.382553,27.4529,0.383529,27.523,0.0408022,2.92807,0.070398,5.05193,0.0566252,4.06356,0.0122191,0.876873,0.053873,3.86606
157,0.398016,28.7424,0.366818,26.4894,0.0409041,2.95385,0.0682933,4.93174,0.0578887,4.18037,0.0122373,0.883702,0.0558429,4.03264
158,0.41343,30.0421,0.349975,25.4311,0.0410217,2.98086,0.0663134,4.81869,0.0591282,4.29658,0.0122721,0.891759,0.0578601,4.20443
159,0.428762,31.3497,0.333061,24.3524,0.0411484,3.00864,0.0644642,4.71341,0.060336,4.41158,0.0123232,0.901033,0.0599047,4.38004
160,0.443983,32.6629,0.316138,23.2576,0.0412768,3.03665,0.0627509,4.61645,0.0615057,4.52484,0.0123905,0.911546,0.0619557,4.55795
161,0.45906,33.9791,0.299265,22.1513,0.0413988,3.06429,0.0611778,4.52831,0.0626314,4.63591,0.0124745,0.923346,0.0639923,4.73664
162,0.473965,35.296,0.282503,21.0379,0.0415058,3.09093,0.0597485,4.44945,0.0637083,4.74434,0.0125756,0.936498,0.0659936,4.91452
163,0.488669,36.6112,0.265911,19.9222,0.0415893,3.11588,0.0584655,4.38025,0.064732,4.84974,0.0126944,0.951071,0.067939,5.09001
164,0.503141,37.9222,0.249548,18.8087,0.0416403,3.13847,0.0573307,4.32106,0.0656987,4.95176,0.0128316,0.967127,0.069809,5.26156
165,0.517356,39.2265,0.233471,17.7021,0.0416506,3.158,0.056345,4.27215,0.0666047,5.05004,0.0129872,0.984705,0.0715851,5.42767
166,0.531286,40.5219,0.217735,16.6069,0.0416125,3.17384,0.0555085,4.23371,0.0674464,5.14423,0.013161,1.00381,0.0732505,5.58691
167,0.544907,41.806,0.202391,15.5277,0.0415191,3.1854,0.0548201,4.20587,0.0682206,5.23398,0.0133522,1.0244,0.0747899,5.73798
168,0.558194,43.0765,0.18749,14.4688,0.041365,3.19219,0.0542775,4.18866,0.0689236,5.31891,0.0135591,1.04637,0.0761902,5.87968
169,0.571126,44.3312,0.173079,13.4345,0.0411466,3.19383,0.0538772,4.18199,0.0695518,5.39867,0.0137795,1.06957,0.0774403,6.01098
