x,x_g,x_ex,k,init,g,ex,E,T
-362.491,2.69628e-29,5.34872e-29,-14.5731,1.59826e-28,5.52293e-31,9.06498e-32,153.019,0
-362.295,1.59616e-29,1.32917e-30,-14.5652,1.67553e-28,1.2426e-29,7.73502e-30,152.854,0
-362.1,3.94178e-30,7.30932e-29,-14.5574,1.75193e-28,4.10169e-29,4.37854e-31,152.689,0
-361.905,1.07232e-29,9.70613e-29,-14.5495,1.85721e-28,2.3344e-29,2.89642e-30,152.524,0
-361.709,2.02323e-29,2.19414e-29,-14.5416,1.93805e-28,2.56061e-29,3.89826e-30,152.36,0
-361.514,9.53293e-30,1.44419e-29,-14.5338,2.03666e-28,2.35976e-29,1.07359e-30,152.195,0
-361.319,4.93488e-30,8.05404e-29,-14.5259,2.12712e-28,2.03483e-29,2.33373e-29,152.031,0
-361.123,7.73962e-30,6.41565e-29,-14.5181,2.24247e-28,9.77179e-30,5.07794e-30,151.867,0
-360.928,1.0594e-29,4.24533e-30,-14.5102,2.32656e-28,4.81387e-29,1.86849e-29,151.702,0
-360.733,4.05768e-30,3.12908e-29,-14.5024,2.42418e-28,2.13983e-29,3.37689e-31,151.538,0
-360.537,2.75306e-30,7.30948e-29,-14.4945,2.51961e-28,6.23852e-30,5.73369e-30,151.374,0
-360.342,5.20864e-30,4.2353e-29,-14.4867,2.63941e-28,5.94817e-29,3.13687e-30,151.21,0
-360.147,9.75765e-30,2.13866e-30,-14.4788,2.72349e-28,1.45099e-29,6.38018e-31,151.046,0
-359.951,1.07684e-29,3.36775e-29,-14.471,2.84511e-28,8.54527e-30,4.51276e-30,150.882,0
-359.756,1.29774e-29,6.66034e-29,-14.4631,2.93849e-28,5.83014e-30,5.59344e-30,150.718,0
-359.56,2.44597e-29,2.45694e-29,-14.4553,3.04718e-28,7.48358e-30,1.55024e-29,150.555,0
-359.365,2.55644e-29,3.6064e-30,-14.4474,3.1877e-28,2.22218e-29,9.83546e-30,150.391,0
-359.17,1.68693e-29,4.47128e-29,-14.4395,3.28447e-28,6.56378e-29,1.83373e-30,150.228,0
-358.974,2.14518e-29,6.77086e-29,-14.4317,3.39436e-28,6.87657e-29,8.22325e-30,150.064,0
-358.779,2.19738e-29,2.61117e-29,-14.4238,3.50442e-28,2.57771e-29,5.19732e-30,149.901,0
-358.584,1.72767e-29,8.71749e-30,-14.416,3.64567e-28,2.02e-29,4.45088e-30,149.738,0
-358.388,1.42885e-29,5.8213e-29,-14.4081,3.76618e-28,2.72966e-29,2.40804e-30,149.575,0
-358.193,8.14279e-30,5.9881e-29,-14.4003,3.86254e-28,9.19764e-30,2.20956e-30,149.412,0
-357.998,6.02397e-30,7.43505e-30,-14.3924,3.99068e-28,1.89791e-31,1.01789e-29,149.249,0
-357.802,3.46554e-30,1.90483e-29,-14.3846,4.11619e-28,2.28081e-30,7.86817e-30,149.086,0
-357.607,9.70789e-30,7.8594e-29,-14.3767,4.22155e-28,3.64059e-29,1.97298e-30,148.923,0
-357.411,9.53492e-30,4.23245e-29,-14.3689,4.32227e-28,3.06823e-29,1.32801e-30,148.761,0
-357.216,8.8811e-30,2.10709e-31,-14.361,4.4672e-28,6.67072e-29,2.12367e-29,148.598,0
-357.021,5.44078e-30,4.5924e-29,-14.3532,4.61126e-28,1.55364e-28,3.57444e-29,148.436,0
-356.825,2.44727e-29,7.22064e-29,-14.3453,4.71188e-28,4.53644e-29,5.60578e-30,148.273,0
-356.63,2.91209e-29,2.25718e-29,-14.3374,4.82982e-28,5.34409e-30,2.8601e-29,148.111,0
-356.435,7.87231e-30,6.42018e-30,-14.3296,4.95051e-28,2.41088e-30,1.16609e-29,147.949,0
-356.239,1.1705e-29,5.84313e-29,-14.3217,5.05728e-28,4.9122e-29,1.65443e-30,147.786,0
-356.044,4.94159e-29,6.73221e-29,-14.3139,5.1438e-28,6.07175e-29,6.77045e-32,147.624,0
-355.849,2.22772e-29,4.24955e-30,-14.306,5.29285e-28,1.95456e-29,4.3456e-30,147.462,0
-355.653,8.14343e-31,1.84921e-29,-14.2982,5.39452e-28,2.17456e-29,1.3473e-30,147.301,0
-355.458,2.52864e-29,6.1139e-29,-14.2903,5.51686e-28,2.66887e-29,1.32704e-29,147.139,0
-355.263,3.07132e-29,3.02561e-29,-14.2825,5.61795e-28,4.16331e-29,1.07263e-30,146.977,0
-355.067,5.36275e-30,1.13469e-30,-14.2746,5.73445e-28,2.20055e-29,1.347e-29,146.816,0
-354.872,5.14249e-30,3.81476e-29,-14.2668,5.86786e-28,1.11452e-29,1.28741e-29,146.654,0
-354.676,1.71156e-29,5.83751e-29,-14.2589,5.96066e-28,2.85907e-29,1.50774e-29,146.493,0
-354.481,3.00531e-29,1.6117e-29,-14.251,6.05654e-28,6.08304e-29,1.42051e-29,146.331,0
-354.286,2.00006e-29,8.17022e-30,-14.2432,6.13527e-28,1.15295e-28,3.9901e-31,146.17,0
-354.09,5.54274e-31,3.63786e-29,-14.2353,6.24527e-28,9.20977e-29,6.1424e-30,146.009,0
-353.895,1.87425e-29,3.78556e-29,-14.2275,6.32496e-28,7.68009e-29,1.24115e-29,145.848,0
-353.7,4.21182e-29,3.35619e-30,-14.2196,6.43356e-28,6.04792e-29,1.97211e-29,145.687,0
-353.504,1.13785e-29,1.7456e-29,-14.2118,6.5408e-28,3.2867e-29,3.52436e-29,145.526,0
-353.309,5.39889e-30,4.37383e-29,-14.2039,6.58841e-28,7.90772e-31,3.53323e-29,145.365,0
-353.114,4.88555e-29,2.26631e-29,-14.1961,6.67196e-28,9.56373e-29,5.84648e-30,145.204,0
-352.918,2.72036e-29,2.93879e-30,-14.1882,6.75784e-28,1.24189e-28,8.45174e-30,145.044,0
-352.723,6.16385e-31,2.80694e-29,-14.1804,6.83205e-28,1.5016e-28,9.51138e-32,144.883,0
-352.527,1.82287e-29,2.90791e-29,-14.1725,6.93051e-28,3.51036e-29,5.98774e-30,144.723,0
