t,T+R,N_0
823,1,5.48933e-19
824,1,5.3047e-19
825,1,5.11275e-19
826,1,4.96176e-19
827,1,4.88598e-19
828,1,4.89819e-19
829,1,4.98876e-19
830,1,5.13033e-19
831,1,5.28562e-19
832,1,5.41663e-19
833,1,5.49305e-19
834,1,5.49881e-19
835,1,5.43599e-19
836,1,5.32383e-19
837,1,5.19333e-19
838,1,5.07857e-19
839,1,5.00715e-19
840,1,4.99356e-19
841,1,5.03652e-19
842,1,5.1212e-19
843,1,5.22425e-19
844,1,5.31999e-19
845,1,5.38603e-19
846,1,5.40821e-19
847,1,5.38312e-19
848,1,5.31911e-19
849,1,5.23412e-19
850,1,5.15079e-19
851,1,5.09021e-19
852,1,5.06616e-19
853,1,5.08178e-19
854,1,5.12999e-19
855,1,5.19638e-19
856,1,5.26389e-19
857,1,5.31661e-19
858,1,5.34302e-19
859,1,5.33816e-19
860,1,5.30461e-19
861,1,5.25175e-19
862,1,5.19388e-19
863,1,5.14602e-19
864,1,5.11983e-19
865,1,5.12053e-19
866,1,5.14576e-19
867,1,5.18711e-19
868,1,5.23318e-19
869,1,5.27279e-19
870,1,5.29726e-19
871,1,5.3018e-19
872,1,5.28639e-19
873,1,5.25539e-19
874,1,5.21698e-19
875,1,5.1812e-19
876,1,5.15726e-19
877,1,5.15063e-19
878,1,5.16189e-19
879,1,5.18654e-19
880,1,5.21728e-19
881,1,5.24606e-19
882,1,5.26639e-19
883,1,5.27433e-19
884,1,5.26888e-19
885,1,5.25187e-19
886,1,5.22769e-19
887,1,5.20248e-19
888,1,5.18277e-19
889,1,5.17349e-19
890,1,5.17653e-19
891,1,5.1902e-19
892,1,5.20996e-19
893,1,5.23025e-19
894,1,5.24617e-19
895,1,5.2545e-19
896,1,5.2541e-19
897,1,5.24555e-19
898,1,5.23104e-19
899,1,5.21413e-19
900,1,5.19905e-19
901,1,5.18966e-19
902,1,5.18838e-19
903,1,5.19513e-19
904,1,5.20747e-19
905,1,5.22159e-19
906,1,5.23375e-19
907,1,5.24122e-19
908,1,5.24298e-19
909,1,5.23915e-19
910,1,5.23094e-19
911,1,5.22019e-19
912,1,5.20952e-19
913,1,5.20155e-19
914,1,5.19845e-19
915,1,5.20097e-19
916,1,5.20806e-19
917,1,5.21746e-19
918,1,5.22641e-19
919,1,5.23264e-19
920,1,5.23511e-19
921,1,5.23368e-19
922,1,5.22917e-19
923,1,5.2226e-19
924,1,5.21545e-19
925,1,5.20921e-19
926,1,5.20558e-19
927,1,5.2055e-19
928,1,5.20902e-19
929,1,5.21498e-19
930,1,5.2214e-19
931,1,5.2265e-19
932,1,5.22912e-19
933,1,5.22911e-19
934,1,5.22691e-19
935,1,5.22311e-19
936,1,5.21855e-19
937,1,5.21418e-19
938,1,5.21101e-19
939,1,5.20995e-19
940,1,5.21145e-19
941,1,5.21505e-19
942,1,5.21955e-19
943,1,5.22353e-19
944,1,5.22592e-19
945,1,5.22625e-19
946,1,5.22491e-19
947,1,5.22247e-19
948,1,5.21957e-19
949,1,5.21664e-19
950,1,5.21418e-19
951,1,5.21277e-19
952,1,5.21289e-19
953,1,5.2146e-19
954,1,5.2173e-19
955,1,5.22022e-19
956,1,5.22237e-19
957,1,5.22316e-19
958,1,5.2228e-19
959,1,5.22166e-19
960,1,5.22015e-19
961,1,5.21853e-19
962,1,5.21693e-19
963,1,5.21568e-19
964,1,5.2152e-19
965,1,5.21574e-19
966,1,5.21724e-19
967,1,5.2193e-19
968,1,5.22118e-19
969,1,5.22221e-19
970,1,5.22217e-19
971,1,5.22136e-19
972,1,5.22015e-19
973,1,5.21884e-19
974,1,5.21769e-19
975,1,5.21677e-19
976,1,5.21627e-19
977,1,5.21633e-19
978,1,5.21715e-19
979,1,5.21857e-19
980,1,5.22e-19
981,1,5.22098e-19
982,1,5.22121e-19
983,1,5.22072e-19
984,1,5.21991e-19
985,1,5.21907e-19
986,1,5.21844e-19
987,1,5.21785e-19
988,1,5.21739e-19
989,1,5.21716e-19
990,1,5.21741e-19
991,1,5.21823e-19
992,1,5.21931e-19
993,1,5.22025e-19
994,1,5.2207e-19
995,1,5.22057e-19
996,1,5.22001e-19
997,1,5.21926e-19
998,1,5.21867e-19
999,1,5.21824e-19
1000,1,5.2179e-19
1001,1,5.21761e-19
1002,1,5.21757e-19
