t,T+R,N_0
1057,1,0.992723
1058,1,0.992723
1059,1,0.992723
1060,1,0.992723
1061,1,0.992723
1062,1,0.992723
1063,1,0.992723
1064,1,0.992723
1065,1,0.992723
1066,1,0.992723
1067,1,0.992723
1068,1,0.992723
1069,1,0.992723
1070,1,0.992723
1071,1,0.992723
1072,1,0.992723
1073,1,0.992723
1074,1,0.992723
1075,1,0.992723
1076,1,0.992723
1077,1,0.992723
1078,1,0.992723
1079,1,0.992723
1080,1,0.992723
1081,1,0.992723
1082,1,0.992723
1083,1,0.992723
1084,1,0.992723
1085,1,0.992723
1086,1,0.992723
1087,1,0.992723
1088,1,0.992723
1089,1,0.992723
1090,1,0.992723
1091,1,0.992723
1092,1,0.992723
1093,1,0.992723
1094,1,0.992723
1095,1,0.992723
1096,1,0.992723
1097,1,0.992723
1098,1,0.992723
1099,1,0.992723
1100,1,0.992723
1101,1,0.992723
1102,1,0.992723
1103,1,0.992723
1104,1,0.992723
1105,1,0.992723
1106,1,0.992723
1107,1,0.992723
1108,1,0.992723
1109,1,0.992723
1110,1,0.992723
1111,1,0.992723
1112,1,0.992723
1113,1,0.992723
1114,1,0.992723
1115,1,0.992723
1116,1,0.992723
1117,1,0.992723
1118,1,0.992723
1119,1,0.992723
1120,1,0.992723
1121,1,0.992723
1122,1,0.992723
1123,1,0.992723
1124,1,0.992723
1125,1,0.992723
1126,1,0.992723
1127,1,0.992723
1128,1,0.992723
1129,1,0.992723
1130,1,0.992723
1131,1,0.992723
1132,1,0.992723
1133,1,0.992723
1134,1,0.992723
1135,1,0.992723
1136,1,0.992723
1137,1,0.992723
1138,1,0.992723
1139,1,0.992723
1140,1,0.992723
1141,1,0.992723
1142,1,0.992723
1143,1,0.992723
1144,1,0.992723
1145,1,0.992723
1146,1,0.992723
1147,1,0.992723
1148,1,0.992723
1149,1,0.992723
1150,1,0.992723
1151,1,0.992723
1152,1,0.992723
1153,1,0.992723
1154,1,0.992723
1155,1,0.992723
1156,1,0.992723
1157,1,0.992723
1158,1,0.992723
1159,1,0.992723
1160,1,0.992723
1161,1,0.992723
1162,1,0.992723
1163,1,0.992723
1164,1,0.992723
1165,1,0.992723
1166,1,0.992723
1167,1,0.992723
1168,1,0.992723
1169,1,0.992723
1170,1,0.992723
1171,1,0.992723
1172,1,0.992723
1173,1,0.992723
1174,1,0.992723
1175,1,0.992723
1176,1,0.992723
1177,1,0.992723
1178,1,0.992723
1179,1,0.992723
1180,1,0.992723
1181,1,0.992723
1182,1,0.992723
1183,1,0.992723
1184,1,0.992723
1185,1,0.992723
1186,1,0.992723
1187,1,0.992723
1188,1,0.992723
1189,1,0.992723
1190,1,0.992723
1191,1,0.992723
1192,1,0.992723
1193,1,0.992723
1194,1,0.992723
1195,1,0.992723
1196,1,0.992723
1197,1,0.992723
1198,1,0.992723
1199,1,0.992723
1200,1,0.992723
1201,1,0.992723
1202,1,0.992723
1203,1,0.992723
1204,1,0.992723
1205,1,0.992723
1206,1,0.992723
1207,1,0.992723
1208,1,0.992723
1209,1,0.992723
1210,1,0.992723
1211,1,0.992723
1212,1,0.992723
1213,1,0.992723
1214,1,0.992723
1215,1,0.992723
1216,1,0.992723
1217,1,0.992723
1218,1,0.992723
1219,1,0.992723
1220,1,0.992723
1221,1,0.992723
1222,1,0.992723
1223,1,0.992723
1224,1,0.992723
1225,1,0.992723
1226,1,0.992723
1227,1,0.992723
1228,1,0.992723
1229,1,0.992723
1230,1,0.992723
1231,1,0.992723
1232,1,0.992723
1233,1,0.992723
1234,1,0.992723
1235,1,0.992723
1236,1,0.992723
1237,1,0.992723
1238,1,0.992723
1239,1,0.992723
1240,1,0.992723
1241,1,0.992723
1242,1,0.992723
1243,1,0.992723
1244,1,0.992723
1245,1,0.992723
1246,1,0.992723
1247,1,0.992723
1248,1,0.992723
1249,1,0.992723
1250,1,0.992723
1251,1,0.992723
1252,1,0.992723
1253,1,0.992723
1254,1,0.992723
1255,1,0.992723
1256,1,0.992723
1257,1,0.992723
1258,1,0.992723
