t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
176,0.382403,30.8843,0.296711,23.9635,0.0998431,8.06371,0.0114575,0.925352,0.209586,16.927
177,0.380236,30.8797,0.298921,24.276,0.0969923,7.87695,0.0124278,1.00929,0.211424,17.1702
178,0.379248,30.9695,0.300634,24.5498,0.0940266,7.67824,0.013364,1.09131,0.212728,17.3714
179,0.379488,31.1591,0.301812,24.7812,0.0909577,7.46838,0.0142576,1.17067,0.213485,17.5288
180,0.380999,31.4537,0.302419,24.9665,0.0877973,7.2482,0.0151012,1.2467,0.213683,17.6409
181,0.383811,31.8577,0.302426,25.1025,0.0845574,7.01857,0.0158881,1.31877,0.213318,17.7061
182,0.387947,32.3746,0.301807,25.1861,0.0812499,6.78039,0.0166124,1.38633,0.212384,17.7236
183,0.393421,33.0074,0.300541,25.2149,0.0778868,6.53457,0.0172695,1.44888,0.210881,17.6926
184,0.400236,33.7581,0.298615,25.1868,0.0744803,6.28207,0.0178553,1.50601,0.208814,17.6125
185,0.408385,34.6279,0.296016,25.0999,0.0710422,6.02383,0.018367,1.55738,0.206189,17.4832
186,0.417853,35.6174,0.292742,24.9531,0.0675844,5.76083,0.0188027,1.60273,0.203017,17.305
187,0.428614,36.726,0.288794,24.7454,0.0641187,5.49405,0.0191616,1.64187,0.199312,17.0782
188,0.440632,37.9524,0.284176,24.4766,0.0606567,5.22447,0.0194436,1.67471,0.195092,16.8036
189,0.453863,39.2945,0.2789,24.1466,0.0572097,4.9531,0.0196499,1.70125,0.190377,16.4825
190,0.468253,40.7492,0.272984,23.7561,0.0537889,4.68093,0.0197826,1.72156,0.185192,16.1161
191,0.483739,42.3126,0.266448,23.3061,0.0504052,4.40893,0.0198446,1.7358,0.179563,15.7063
192,0.500252,43.9798,0.259318,22.7981,0.0470691,4.13809,0.0198398,1.74423,0.173521,15.2552
193,0.517711,45.7453,0.251626,22.2339,0.0437909,3.86939,0.019773,1.74716,0.167099,14.765
194,0.536031,47.6028,0.243408,21.6161,0.0405805,3.60379,0.0196497,1.74501,0.160331,14.2383
195,0.55512,49.545,0.234701,20.9473,0.0374475,3.34223,0.0194762,1.73827,0.153255,13.6782
196,0.574877,51.5641,0.22555,20.2309,0.0344012,3.08565,0.0192595,1.7275,0.145912,13.0877
197,0.5952,53.6516,0.216001,19.4704,0.0314504,2.83495,0.019007,1.7133,0.138342,12.4702
198,0.615977,55.7982,0.206104,18.6699,0.0286034,2.59104,0.018727,1.69638,0.130589,11.8294
199,0.637096,57.9943,0.195911,17.8336,0.0258684,2.35478,0.0184279,1.67748,0.122696,11.169
200,0.658441,60.2297,0.185477,16.9662,0.023253,2.12703,0.0181187,1.65737,0.11471,10.4929
201,0.679891,62.4936,0.174859,16.0726,0.0207643,1.9086,0.0178085,1.63691,0.106677,9.8054
202,0.701328,64.7751,0.164115,15.1578,0.0184092,1.70029,0.0175068,1.61694,0.0986414,9.11059
203,0.722627,67.0629,0.153304,14.2273,0.0161941,1.50288,0.017223,1.59837,0.0906513,8.41282
204,0.74367,69.3453,0.142486,13.2865,0.0141249,1.31711,0.0169666,1.58209,0.0827526,7.71647
205,0.764334,71.6108,0.131721,12.341,0.0122072,1.1437,0.016747,1.56904,0.074991,7.02595
206,0.7845,73.8477,0.121069,11.3966,0.0104461,0.983327,0.0165735,1.56012,0.0674113,6.34566
207,0.804053,76.0442,0.110589,10.459,0.00884634,0.836652,0.016455,1.55625,0.0600575,5.68
208,0.822878,78.1887,0.100338,9.53395,0.00741226,0.704302,0.0164001,1.55831,0.0529716,5.03329
209,0.840868,80.2699,0.0903729,8.62707,0.0061478,0.586874,0.0164169,1.56717,0.0461945,4.40977
210,0.857917,82.2767,0.0807484,7.744,0.0050565,0.484933,0.0165132,1.58366,0.0397648,3.81356
211,0.873928,84.1983,0.071516,6.89019,0.00414152,0.399013,0.0166958,1.60855,0.0337189,3.24863
212,0.888807,86.0244,0.0627251,6.07093,0.00340563,0.329618,0.0169712,1.64259,0.0280906,2.71879
213,0.902471,87.7452,0.0544217,5.29131,0.00285124,0.277219,0.0173451,1.68642,0.0229113,2.22762
214,0.91484,89.3515,0.0466486,4.55612,0.00248038,0.242257,0.017822,1.74066,0.0182093,1.77849
215,0.925845,90.8346,0.0394447,3.86992,0.00229475,0.225138,0.0184061,1.80583,0.0140098,1.3745
216,0.935424,92.1868,0.0328449,3.23689,0.00229564,0.226237,0.0191004,1.88236,0.0103347,1.01849
217,0.943527,93.401,0.0268799,2.66088,0.00248404,0.245898,0.0199069,1.97061,0.00720256,0.712991
218,0.950108,94.471,0.0215761,2.14535,0.00286054,0.284429,0.0208266,2.07083,0.00462831,0.460201
219,0.955136,95.3913,0.0169551,1.69334,0.00342543,0.342104,0.0218598,2.18318,0.00262331,0.261995
220,0.958587,96.1577,0.0130338,1.30744,0.00417862,0.419166,0.0230054,2.30771,0.00119517,0.11989
221,0.960447,96.7666,0.00982413,0.989797,0.0051197,0.515818,0.0242614,2.44438,0.000347735,0.0350349
222,0.960713,97.2156,0.00733334,0.742069,0.00624789,0.632231,0.0256249,2.59301,8.10666e-05,0.00820323
223,0.959391,97.5034,0.00556352,0.565423,0.00756209,0.768539,0.0270917,2.75334,0.000391438,0.039782
224,0.956499,97.6294,0.0045119,0.460527,0.00906084,0.924835,0.0286568,2.92499,0.00127137,0.129768
225,0.952063,97.5945,0.0041708,0.427542,0.0107423,1.10118,0.0303141,3.10745,0.00270966,0.277763
226,0.94612,97.4002,0.00452773,0.466117,0.0126044,1.29758,0.0320567,3.30014,0.00469152,0.482978
227,0.938715,97.0495,0.00556554,0.575395,0.0146445,1.51403,0.0338765,3.50234,0.0071986,0.744231
228,0.929904,96.546,0.00726251,0.75402,0.0168598,1.75044,0.0357649,3.71324,0.0102092,1.05996
229,0.91975,95.8946,0.00959261,1.00014,0.0192469,2.00672,0.0377122,3.93193,0.0136984,1.42821
230,0.908326,95.1011,0.0125257,1.31143,0.0218024,2.2827,0.039708,4.15741,0.0176381,1.84669
231,0.895711,94.1723,0.0160278,1.68511,0.0245222,2.57818,0.0417415,4.38857,0.0219974,2.31274
232,0.881993,93.1157,0.0200612,2.11795,0.0274018,2.89292,0.043801,4.62425,0.0267429,2.82336
233,0.867265,91.9399,0.0245853,2.60632,0.0304365,3.22661,0.0458743,4.8632,0.0318385,3.37524
