t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
181,0.912154,75.7121,0.0516968,4.29102,0.0326257,2.70805,0.00238106,0.197637,0.00039523,0.0328056,0.000747263,0.0620256
182,0.893958,74.6017,0.0626569,5.22879,0.0389679,3.25191,0.00307616,0.256709,0.000459973,0.0383853,0.000881179,0.0735353
183,0.874227,73.3462,0.0737469,6.18724,0.0451872,3.79113,0.00498574,0.418295,0.000513165,0.0430537,0.00133982,0.112408
184,0.853144,71.9587,0.0848313,7.15513,0.0508862,4.29202,0.00840219,0.708686,0.00055971,0.0472089,0.00217681,0.183604
185,0.830877,70.452,0.0958375,8.12628,0.0556774,4.72102,0.0135631,1.15004,0.000606192,0.0514004,0.00343876,0.29158
186,0.807582,68.8374,0.106754,9.09956,0.0592241,5.04821,0.0206105,1.75681,0.000655123,0.055842,0.00517521,0.441129
187,0.783394,67.1255,0.117624,10.0786,0.0612764,5.2505,0.0295696,2.53368,0.000701843,0.0601377,0.00743466,0.637043
188,0.758433,65.3252,0.12854,11.0714,0.0616945,5.31386,0.0403529,3.47567,0.000735595,0.0633581,0.0102438,0.882315
189,0.7328,63.4443,0.139636,12.0894,0.0604583,5.23436,0.0527815,4.56972,0.000744723,0.0644766,0.0135792,1.17566
190,0.706577,61.4892,0.151078,13.1474,0.0576653,5.01827,0.0666061,5.79633,0.000723566,0.0629676,0.0173497,1.50984
191,0.679834,59.4649,0.163055,14.2624,0.0535195,4.68134,0.0815121,7.12984,0.000676325,0.0591579,0.0214033,1.87214
192,0.652623,57.3756,0.175776,15.4534,0.048315,4.24763,0.0971099,8.53745,0.000614573,0.0540304,0.0255611,2.24722
193,0.62499,55.2246,0.18946,16.7408,0.0424147,3.7478,0.112925,9.97811,0.000550408,0.0486345,0.0296603,2.62081
194,0.596971,53.0146,0.204328,18.1456,0.0362218,3.21671,0.128406,11.4032,0.00049091,0.0435957,0.0335823,2.98231
195,0.568599,50.748,0.220598,19.6886,0.0301455,2.69051,0.142969,12.7601,0.000437511,0.0390483,0.0372507,3.32466
196,0.539908,48.4275,0.238472,21.3899,0.0245624,2.20315,0.156064,13.9983,0.000389124,0.0349028,0.0406045,3.64206
197,0.510935,46.0559,0.258126,23.2676,0.0197809,1.78306,0.167246,15.0756,0.000345676,0.0311594,0.0435663,3.92709
198,0.481726,43.6371,0.279704,25.3369,0.0160135,1.45058,0.176218,15.9627,0.000309876,0.0280701,0.0460283,4.16947
