E,T,R0,R,E/V0,N_R0
0.240504,0.00161453,0.968357,0.968357,0.00240504,0.9983354872
0.241915,0.00158091,0.966085,0.966085,0.00241915,0.9983662647
0.243329,0.00154804,0.964097,0.964097,0.00243329,0.9983968851
0.244748,0.00151589,0.96239,0.96239,0.00244748,0.9984273465
0.246171,0.00148446,0.960958,0.960958,0.00246171,0.9984576117
0.247598,0.00145373,0.959796,0.959796,0.00247598,0.9984876667
0.249029,0.00142367,0.958897,0.958897,0.00249029,0.9985175056
0.250465,0.00139427,0.958253,0.958253,0.00250465,0.9985471016
0.251904,0.00136553,0.957856,0.957856,0.00251904,0.9985764185
0.253348,0.00133741,0.957697,0.957697,0.00253348,0.9986054619
0.254795,0.00130992,0.957766,0.957766,0.00254795,0.9986341853
0.256247,0.00128302,0.958052,0.958052,0.00256247,0.9986625944
0.257703,0.00125672,0.958545,0.958545,0.00257703,0.9986906462
0.259163,0.00123099,0.959233,0.959233,0.00259163,0.9987183382
0.260628,0.00120582,0.960105,0.960105,0.00260628,0.9987456502
0.262096,0.0011812,0.961149,0.961149,0.00262096,0.9987725627
0.263568,0.00115712,0.962351,0.962351,0.00263568,0.9987990553
0.265045,0.00113356,0.963701,0.963701,0.00265045,0.998825125
0.266526,0.00111051,0.965185,0.965185,0.00266526,0.9988507553
0.26801,0.00108796,0.966789,0.966789,0.0026801,0.9988759315
0.269499,0.0010659,0.968502,0.968502,0.00269499,0.9989006443
0.270992,0.00104432,0.970311,0.970311,0.00270992,0.9989248836
0.27249,0.00102321,0.972203,0.972203,0.0027249,0.9989486411
0.273991,0.00100255,0.974165,0.974165,0.00273991,0.9989719203
0.275496,0.000982334,0.976185,0.976185,0.00275496,0.9989947126
0.277006,0.000962555,0.97825,0.97825,0.00277006,0.9990170112
0.27852,0.0009432,0.980349,0.980349,0.0027852,0.9990388184
0.280037,0.000924261,0.98247,0.98247,0.00280037,0.9990601318
0.281559,0.000905728,0.984602,0.984602,0.00281559,0.9990809529
0.283085,0.000887591,0.986734,0.986734,0.00283085,0.9991012843
0.284616,0.000869842,0.988855,0.988855,0.00284616,0.9991211274
0.28615,0.000852472,0.990955,0.990955,0.0028615,0.9991404864
0.287688,0.000835472,0.993025,0.993025,0.00287688,0.9991593669
0.289231,0.000818834,0.995055,0.995055,0.00289231,0.9991777734
0.290778,0.00080255,0.997037,0.997037,0.00290778,0.9991957124
0.292328,0.00078661,0.998963,0.998963,0.00292328,0.999213193
0.293883,0.00077101,1.00083,1.00083,0.00293883,0.9992302224
0.295442,0.000755739,1.00262,1.00262,0.00295442,0.9992468036
0.297006,0.000740791,1.00433,1.00433,0.00297006,0.9992629464
