E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
3.62054,3285.6,1.04138e-16,8.17982e-13,0,0,8.18087e-13,3.16953e-20,2.4896e-16,0,0,0.0362054
3.67539,3406.66,9.72324e-17,5.44206e-13,0,0,5.44303e-13,2.85419e-20,1.59748e-16,0,0,0.0367539
3.73066,3530.94,6.77451e-17,3.77529e-13,0,0,3.77597e-13,1.91861e-20,1.0692e-16,0,0,0.0373066
3.78634,3658.52,3.10318e-17,2.51763e-13,0,0,2.51794e-13,8.48206e-21,6.88155e-17,0,0,0.0378634
3.84243,3789.35,2.12831e-17,1.77146e-13,0,0,1.77167e-13,5.61656e-21,4.67484e-17,0,0,0.0384243
3.89894,3923.56,2.82005e-17,1.18792e-13,0,0,1.1882e-13,7.18748e-21,3.02766e-17,0,0,0.0389894
3.95586,4061.06,3.02195e-17,7.842e-14,0,0,7.84503e-14,7.44129e-21,1.93102e-17,0,0,0.0395586
4.01319,4201.98,1.85599e-17,5.60119e-14,3.25321e-07,0,3.25321e-07,4.41695e-21,1.33299e-17,7.74208e-11,0,0.0401319
4.07093,4346.26,6.14551e-18,3.75226e-14,4.7796e-08,0,4.7796e-08,1.41398e-21,8.6333e-18,1.0997e-11,0,0.0407093
4.12909,4493.93,4.93494e-18,2.66205e-14,1.36806e-08,0,1.36806e-08,1.09813e-21,5.92366e-18,3.04424e-12,0,0.0412909
4.18765,4645.07,8.52622e-18,1.81617e-14,4.93806e-09,0,4.93808e-09,1.83554e-21,3.90988e-18,1.06308e-12,0,0.0418765
4.24663,4799.58,7.9767e-18,1.22364e-14,2.07215e-09,0,2.07216e-09,1.66196e-21,2.54948e-18,4.31736e-13,0,0.0424663
4.30603,4957.57,2.53124e-18,8.59295e-15,9.25142e-10,0,9.25151e-10,5.1058e-22,1.7333e-18,1.86612e-13,0,0.0430603
4.36583,5119,2.61912e-19,5.71208e-15,4.28384e-10,0,4.2839e-10,5.11647e-23,1.11586e-18,8.36852e-14,0,0.0436583
4.42605,5283.79,4.43764e-19,3.95526e-15,2.07227e-10,0,2.07231e-10,8.39859e-23,7.48564e-19,3.92193e-14,0,0.0442605
4.48668,5452.14,1.0953e-18,2.93995e-15,1.10287e-10,0,1.1029e-10,2.00895e-22,5.39229e-19,2.02282e-14,0,0.0448668
4.54772,5623.86,1.33755e-18,1.8911e-15,5.80957e-11,0,5.80976e-11,2.37835e-22,3.36264e-19,1.03302e-14,0,0.0454772
4.60918,5798.93,1.06693e-18,1.19692e-15,3.02198e-11,0,3.0221e-11,1.83988e-22,2.06404e-19,5.21127e-15,0,0.0460918
