t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
141,1.00905,4.70206e-28,1.25538e-28,8.35033e-28,5.06891e-29,1.67849e-28,-9.99942e-30,1.09006e-29,2.86462e-28
142,1.01205,4.96836e-28,1.14892e-28,8.62683e-28,4.76306e-29,1.67593e-28,-9.80077e-30,2.61199e-29,2.76875e-28
143,1.01505,5.09383e-28,9.3623e-29,9.02323e-28,6.6363e-29,1.71167e-28,-2.5275e-30,3.77364e-29,2.14319e-28
144,1.01805,5.1817e-28,1.03926e-28,9.13086e-28,5.7542e-29,1.67172e-28,1.67289e-29,4.83852e-29,2.04039e-28
145,1.02106,5.60892e-28,7.939e-29,9.62591e-28,3.90774e-29,1.86171e-28,2.20877e-29,5.1837e-29,1.77933e-28
146,1.02405,5.63573e-28,7.93276e-29,9.58235e-28,4.3846e-29,1.85333e-28,2.24005e-29,6.20804e-29,1.36987e-28
147,1.02705,5.08369e-28,8.58224e-29,9.65266e-28,6.34256e-29,1.82607e-28,3.93778e-29,7.77576e-29,1.097e-28
148,1.03003,5.49325e-28,7.0262e-29,9.67544e-28,4.22672e-29,1.92662e-28,4.07572e-29,6.94377e-29,9.5579e-29
149,1.033,5.8088e-28,1.35395e-28,9.56216e-28,3.49708e-29,1.82924e-28,5.02205e-29,8.76788e-29,1.08625e-28
150,1.03595,5.69276e-28,1.23552e-28,9.07485e-28,3.57889e-29,2.20839e-28,5.58399e-29,8.67803e-29,9.53126e-29
151,1.03889,5.16958e-28,1.1402e-28,8.44057e-28,3.98416e-29,2.20921e-28,5.62352e-29,8.70653e-29,9.53859e-29
152,1.0418,5.43779e-28,5.82853e-29,8.35715e-28,3.12924e-29,2.39727e-28,4.94558e-29,9.836e-29,8.34421e-29
153,1.04468,5.09426e-28,6.5536e-29,7.92516e-28,4.11145e-29,2.39576e-28,5.05975e-29,8.81469e-29,9.66693e-29
154,1.04752,4.72253e-28,7.18534e-29,7.19541e-28,3.72737e-29,2.38465e-28,5.61948e-29,8.60514e-29,1.33348e-28
155,1.05033,4.35585e-28,6.08331e-29,6.58964e-28,4.83338e-29,2.65138e-28,5.15634e-29,7.26739e-29,1.26337e-28
156,1.0531,4.45901e-28,2.20703e-29,5.90984e-28,6.10319e-29,2.61189e-28,4.72408e-29,7.01228e-29,1.32595e-28
157,1.05581,4.76191e-28,-7.80995e-30,5.5887e-28,5.67109e-29,2.59383e-28,4.38685e-29,6.04353e-29,1.28533e-28
158,1.05848,3.84089e-28,1.14967e-29,4.55571e-28,7.24981e-29,2.6914e-28,4.67972e-29,5.39397e-29,1.49056e-28
159,1.0611,4.04475e-28,4.8487e-30,4.41407e-28,9.33439e-29,2.65558e-28,6.35268e-29,3.9355e-29,1.75753e-28
160,1.06366,4.66962e-28,2.85879e-29,3.34513e-28,1.05989e-28,2.55235e-28,7.30578e-29,2.84054e-29,1.8807e-28
161,1.06615,4.2783e-28,-2.40871e-29,3.07069e-28,8.3869e-29,2.50569e-28,7.63792e-29,1.02467e-29,1.97961e-28
162,1.06859,4.43118e-28,-1.54926e-29,2.76861e-28,1.0949e-28,2.28195e-28,8.2716e-29,3.46504e-30,1.68121e-28
163,1.07095,4.72438e-28,-3.93598e-29,1.94896e-28,1.09328e-28,2.34252e-28,1.10273e-28,5.98914e-31,2.17798e-28
164,1.07325,5.14205e-28,-9.66759e-30,1.73414e-28,1.10736e-28,2.16688e-28,1.05446e-28,8.16701e-31,2.58293e-28
165,1.07548,5.38286e-28,2.3268e-29,1.23779e-28,8.41653e-29,2.35415e-28,1.05125e-28,7.94158e-30,2.45563e-28
166,1.07763,5.29516e-28,1.9646e-29,9.26214e-29,8.34223e-29,2.37926e-28,1.00689e-28,2.85729e-29,2.35637e-28
167,1.07971,6.26674e-28,-1.94635e-29,8.97814e-29,9.65368e-29,2.87774e-28,8.3482e-29,3.54774e-29,2.1287e-28
168,1.08172,6.43857e-28,1.16404e-29,6.40568e-29,7.2649e-29,2.81445e-28,8.38442e-29,7.33271e-29,2.10408e-28
169,1.08365,7.4709e-28,7.32317e-29,3.64187e-29,8.54218e-29,2.97656e-28,9.42093e-29,8.69252e-29,2.53195e-28
170,1.08551,7.81596e-28,9.51835e-29,3.0589e-29,4.83575e-29,3.7301e-28,6.98494e-29,1.22692e-28,2.19155e-28
171,1.08729,7.90193e-28,4.31305e-29,2.73546e-29,6.15476e-29,4.01009e-28,6.05044e-29,1.45254e-28,2.02465e-28
172,1.08901,9.66137e-28,1.03773e-28,2.08322e-29,5.02582e-29,4.20999e-28,4.83088e-29,1.51103e-28,2.1365e-28
173,1.09065,9.32191e-28,8.64729e-29,2.35421e-29,6.85752e-29,4.56912e-28,4.80655e-29,1.68282e-28,2.06379e-28
174,1.09222,1.00914e-27,1.29634e-28,3.15338e-29,4.43293e-29,4.65677e-28,5.66276e-29,1.9861e-28,1.55337e-28
175,1.09372,1.11984e-27,1.20884e-28,3.42478e-29,3.46066e-29,4.58803e-28,5.82656e-29,1.99894e-28,1.46462e-28
176,1.09516,1.26875e-27,9.80399e-29,3.93918e-29,4.303e-29,4.76722e-28,5.92682e-29,1.77439e-28,1.1689e-28
177,1.09653,1.31766e-27,9.5528e-29,4.73651e-29,4.09988e-29,4.62468e-28,5.27755e-29,1.97093e-28,1.18205e-28
178,1.09784,1.19929e-27,1.26897e-28,5.14442e-29,5.41966e-29,4.60304e-28,8.25709e-29,1.71466e-28,9.50168e-29
179,1.0991,1.21704e-27,7.16767e-29,7.36774e-29,2.86481e-29,4.35302e-28,8.12421e-29,1.30256e-28,8.46182e-29
180,1.1003,1.43074e-27,1.06651e-28,7.50984e-29,2.61355e-29,4.21426e-28,9.72162e-29,1.12008e-28,8.66979e-29
181,1.10145,1.41224e-27,1.00527e-28,8.70827e-29,2.87481e-29,4.04189e-28,9.76039e-29,1.06818e-28,6.46747e-29
182,1.10255,1.45824e-27,8.20759e-29,9.32117e-29,2.63399e-29,3.65464e-28,1.07694e-28,9.01883e-29,7.07178e-29
183,1.10361,1.48864e-27,8.96275e-29,1.18851e-28,2.4608e-29,3.37989e-28,1.04071e-28,5.53751e-29,6.6996e-29
184,1.10464,1.43764e-27,8.37868e-29,1.24918e-28,3.94368e-29,2.86064e-28,1.17253e-28,3.57208e-29,6.57684e-29
185,1.10562,1.49556e-27,7.4277e-29,1.36254e-28,3.27432e-29,2.378e-28,1.22934e-28,4.6168e-29,5.36111e-29
186,1.10658,1.45193e-27,9.29658e-29,1.22285e-28,3.17658e-29,2.15813e-28,1.22806e-28,3.13154e-29,5.04117e-29
187,1.10751,1.33849e-27,6.22618e-29,1.52028e-28,4.99176e-29,1.74516e-28,1.25689e-28,1.26583e-29,4.30925e-29
188,1.10842,1.2626e-27,7.3043e-29,1.39357e-28,4.62304e-29,1.37464e-28,1.44221e-28,1.12922e-29,4.03249e-29
189,1.10931,1.301e-27,1.265e-28,1.82339e-28,4.00095e-29,1.03704e-28,1.46469e-28,5.17725e-30,3.68441e-29
