t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
199,1.10893,3.52846e-29,3.32238e-28,2.47863e-28,3.65227e-29,7.77362e-28,1.38992e-28,3.67964e-28
200,1.10954,6.03286e-29,1.0365e-28,2.08859e-28,8.29376e-29,7.93935e-28,2.02736e-28,5.21333e-28
201,1.11018,4.85114e-29,1.0542e-28,3.26754e-28,1.1944e-28,8.55586e-28,2.3012e-28,5.42204e-28
202,1.11084,4.95567e-29,1.53966e-28,4.33422e-28,1.50332e-28,9.16896e-28,2.57341e-28,6.41011e-28
203,1.11153,3.44643e-29,2.05507e-28,3.87132e-28,1.05568e-28,8.59045e-28,1.5209e-28,4.73103e-28
204,1.11224,2.95384e-29,1.99177e-28,2.65025e-28,1.13607e-28,7.66242e-28,1.88888e-28,4.70491e-28
205,1.11298,3.1978e-29,1.26949e-28,2.60704e-28,1.39246e-28,8.01254e-28,2.47956e-28,5.34562e-28
206,1.11375,3.16097e-29,8.60479e-29,3.20994e-28,1.52499e-28,7.80658e-28,2.53174e-28,6.27074e-28
207,1.11454,3.10137e-29,6.98302e-29,3.19563e-28,1.55876e-28,8.26096e-28,1.71516e-28,5.62657e-28
208,1.11537,3.47053e-29,1.14944e-28,2.91361e-28,1.37447e-28,7.47405e-28,1.37705e-28,4.50171e-28
209,1.11622,2.5006e-29,1.47859e-28,2.34787e-28,1.27701e-28,7.28695e-28,1.63432e-28,4.82327e-28
210,1.1171,2.36434e-29,9.2615e-29,2.43456e-28,1.85356e-28,7.94956e-28,1.7127e-28,5.54788e-28
211,1.118,3.07042e-29,6.00964e-29,2.55987e-28,2.22895e-28,8.45642e-28,1.47166e-28,5.63505e-28
212,1.11894,1.66964e-29,7.75092e-29,3.05238e-28,2.44773e-28,9.23681e-28,1.04215e-28,5.53754e-28
213,1.11989,5.79815e-30,1.89049e-28,1.53064e-28,1.78714e-28,7.88915e-28,5.16826e-29,4.22631e-28
214,1.12088,1.18156e-29,1.81043e-28,1.34726e-28,1.56427e-28,7.51751e-28,1.00341e-28,4.90856e-28
215,1.12189,9.93058e-30,1.08829e-28,8.7689e-29,2.28394e-28,8.35983e-28,1.37459e-28,6.16151e-28
216,1.12292,1.23357e-29,1.20054e-28,1.77763e-28,3.02647e-28,1.01818e-27,1.22639e-28,6.54577e-28
217,1.12398,7.3805e-30,1.72329e-28,1.47355e-28,2.98613e-28,9.66293e-28,1.03019e-28,6.13194e-28
218,1.12506,8.47069e-30,2.13666e-28,1.20818e-28,2.05921e-28,7.97267e-28,1.20566e-28,5.3994e-28
