t,T+R,N_0,N_1,N_2,N_3,N_4
220,1.13763,1.54576e-28,8.94048e-28,9.01982e-28,6.54829e-28,1.01817e-28
221,1.13797,1.32539e-28,1.42791e-27,9.78725e-28,8.43765e-28,9.3359e-29
222,1.13833,2.2055e-28,1.78125e-27,9.71655e-28,8.68379e-28,8.44385e-29
223,1.13869,3.9186e-28,1.47813e-27,9.82919e-28,7.83171e-28,9.39608e-29
224,1.13908,3.57997e-28,1.26536e-27,9.91984e-28,7.31769e-28,9.15643e-29
225,1.13949,3.0695e-28,1.70217e-27,9.79143e-28,7.60759e-28,7.87132e-29
226,1.13993,3.76851e-28,2.07484e-27,9.44699e-28,8.83834e-28,6.71033e-29
227,1.1404,4.4449e-28,1.77505e-27,1.00787e-27,7.92372e-28,5.86216e-29
228,1.1409,5.33611e-28,1.46782e-27,1.01735e-27,6.73165e-28,6.98157e-29
229,1.14144,5.50489e-28,1.74215e-27,9.6294e-28,6.91732e-28,7.04614e-29
230,1.14201,5.23868e-28,2.06764e-27,9.50443e-28,7.34911e-28,6.17765e-29
231,1.14262,5.88864e-28,1.77279e-27,9.45061e-28,6.82834e-28,5.91749e-29
232,1.14325,7.45895e-28,1.341e-27,9.93682e-28,6.03336e-28,8.90769e-29
233,1.14392,7.29663e-28,1.48438e-27,9.47966e-28,5.1369e-28,9.95967e-29
234,1.1446,7.43284e-28,1.7832e-27,8.89023e-28,6.00812e-28,9.57793e-29
235,1.1453,7.78642e-28,1.72452e-27,7.87649e-28,5.91601e-28,8.96988e-29
236,1.14602,1.01732e-27,1.31207e-27,8.32329e-28,5.35488e-28,1.02579e-28
237,1.14674,1.00652e-27,1.08122e-27,8.30565e-28,4.12034e-28,1.54766e-28
238,1.14746,9.32944e-28,1.36306e-27,7.08302e-28,4.3197e-28,1.71928e-28
239,1.14818,1.03363e-27,1.24228e-27,6.13576e-28,4.83407e-28,1.58414e-28
240,1.14888,1.20613e-27,9.56436e-28,6.19585e-28,3.70789e-28,1.7091e-28
241,1.14956,1.56025e-27,7.73147e-28,5.76777e-28,3.08078e-28,2.42814e-28
242,1.15021,1.39227e-27,9.28092e-28,5.09074e-28,3.12999e-28,2.68301e-28
