E,T,R0,R1,R,N_R0,N_R1,E/V0
1786.23,3.55292,1.01745,-0.00383158,1.01362,0.222806,-0.000839054,17.8623
1786.35,5.66988,1.34995,0.94945,2.2994,0.169394,0.119139,17.8635
1786.47,3.31018,0.4536,-0.11706,0.33654,0.124386,-0.0321002,17.8647
1786.59,5.14239,1.50984,0.976104,2.48595,0.197925,0.127958,17.8659
1786.71,8.33124,4.78498,5.22172,10.0067,0.260933,0.28475,17.8671
1786.83,3.72518,0.0316273,-1.97527,-1.94364,0.0177528,-1.10875,17.8683
1786.95,3.81986,9.50555,2.07885,11.5844,0.617073,0.134953,17.8695
1787.08,7.34622,4.34444,-0.401988,3.94245,0.38485,-0.0356099,17.8708
1787.2,6.7391,8.00527,0.687458,8.69273,0.51875,0.0445481,17.872
1787.32,3.16694,5.88529,0.264921,6.15021,0.631662,0.0284337,17.8732
1787.44,2.1798,1.78815,2.21451,4.00267,0.28923,0.358193,17.8744
1787.56,2.94965,0.587838,-0.344327,0.243511,0.184093,-0.107833,17.8756
1787.68,9.0842,13.539,1.36531,14.9043,0.564395,0.0569153,17.8768
1787.8,2.88865,6.01868,1.76245,7.78113,0.564087,0.165182,17.878
1787.93,1.83139,0.398976,-0.0984718,0.300504,0.187146,-0.0461897,17.8793
1788.05,13.9508,16.3531,1.07764,17.4308,0.521107,0.03434,17.8805
1788.17,1.14893,8.7886,-0.0242644,8.76433,0.88655,-0.00244767,17.8817
1788.29,1.99841,7.88262,1.43787,9.32049,0.696412,0.127033,17.8829
1788.41,2.32422,0.945657,2.05463,3.00029,0.177605,0.385882,17.8841
1788.53,13.4025,4.66943,1.22102,5.89046,0.242028,0.0632887,17.8853
1788.65,3.03267,3.35254,-0.117132,3.23541,0.534859,-0.0186871,17.8865
1788.78,12.1292,2.86234,1.12534,3.98768,0.177599,0.0698235,17.8878
1788.9,7.78221,4.99629,-0.0259063,4.97038,0.391786,-0.00203145,17.889
1789.02,2.0341,7.35035,1.29686,8.64721,0.688151,0.121414,17.8902
1789.14,10.0861,0.835447,0.728814,1.56426,0.0717099,0.0625572,17.8914
1789.26,5.40398,6.3497,-0.23978,6.10992,0.551481,-0.0208252,17.8926
1789.38,4.67863,5.04826,0.670592,5.71885,0.485527,0.0644957,17.8938
1789.5,1.09119,5.03525,0.0913504,5.1266,0.809813,0.0146918,17.895
1789.63,5.40723,1.76001,-0.0892416,1.67077,0.24866,-0.0126083,17.8963
1789.75,8.68936,12.4386,1.0327,13.4713,0.561292,0.0466005,17.8975
1789.87,4.5706,4.15305,0.00791537,4.16096,0.475636,0.000906524,17.8987
1789.99,8.60838,0.298115,3.09056,3.38867,0.024849,0.25761,17.8999
1790.11,1.27113,5.29192,-0.875291,4.41663,0.930406,-0.15389,17.9011
1790.23,1.65855,1.48444,0.116972,1.60141,0.455355,0.0358814,17.9023
1790.36,4.17956,6.66702,0.0199197,6.68694,0.613539,0.00183313,17.9036
1790.48,2.28657,4.48653,1.29879,5.78532,0.555821,0.160903,17.9048
1790.6,6.35466,4.80507,1.97844,6.78351,0.365733,0.150587,17.906
1790.72,5.17771,0.292338,-0.840765,-0.548426,0.0631498,-0.181619,17.9072
1790.84,4.84342,16.0269,0.364935,16.3918,0.754731,0.0171854,17.9084
1790.96,9.53338,0.635602,0.229378,0.86498,0.0611252,0.022059,17.9096
1791.08,11.7229,4.51684,2.97095,7.4878,0.235121,0.154651,17.9108
